Train loss,Validation loss,,,
0.423746024,0.287168196,,crop,Test Loss: 0.1897
0.235816562,0.210872746,,,IoU Score: 0.7532
0.171521621,0.202196068,,,F1 Score: 0.8592
0.14294671,0.179158299,,,Accuracy: 0.9539
0.112933908,0.154106984,,,Precision: 0.8828
0.106865294,0.156987695,,,Recall: 0.8369
0.085054109,0.156164523,,,
0.077673195,0.153074847,,noncrop,Average IoU Score: 0.7368
0.06924632,0.228359306,,,Average F1 Score: 0.8485
0.06276413,0.162300718,,,Average Accuracy: 0.9856
0.077081603,0.142538088,,,Average Precision: 0.8726
0.067097281,0.220817512,,,Average Recall: 0.8257
0.057485946,0.147354909,,,
0.056071434,0.168174028,,,
0.085917147,0.210025002,,,
0.061741273,0.14850948,,,
0.061145914,0.189795657,,,
0.055483272,0.145139158,,,
0.048319886,0.163454845,,,
0.043433264,0.179726369,,,
0.047419958,0.197241653,,,
0.04106034,0.191351844,,,
0.036399504,0.177170118,,,
0.034855616,0.190952901,,,
0.033793837,0.211549132,,,
0.032015161,0.186112051,,,
0.042003538,0.224726862,,,
0.0357987,0.177123273,,,
0.032266967,0.229817655,,,
0.030527749,0.213041031,,,
0.029384565,0.172465342,,,
0.028497328,0.196736228,,,
0.027591994,0.232389334,,,
0.027493691,0.261847858,,,
0.025465671,0.236496542,,,
0.025107246,0.196311799,,,
0.024836705,0.244571103,,,
0.024306336,0.205570945,,,
0.024185932,0.245954274,,,
0.023328823,0.234885796,,,
0.023169585,0.228300253,,,
0.022811255,0.206447101,,,
0.02562604,0.218705432,,,
0.02286523,0.17302043,,,
0.024934601,0.295772205,,,
0.022273843,0.259498414,,,
0.021674527,0.224228713,,,
0.021227612,0.237987655,,,
0.021117994,0.235508418,,,
0.020730899,0.222856382,,,
0.020574323,0.208579643,,,
0.020345695,0.245329909,,,
0.020115027,0.253716845,,,
0.020070092,0.228957211,,,
0.019855113,0.236132465,,,
0.019693552,0.223731306,,,
0.019572349,0.226861512,,,
0.019161671,0.235486666,,,
0.019151583,0.193019042,,,
0.018870443,0.220714516,,,
0.018919999,0.220640142,,,
