Train loss,Validation loss,,crop,Test Loss: 0.1203
0.382350233,0.180059214,,,IoU Score: 0.7394
0.116818719,0.119482606,,,F1 Score: 0.8502
0.082055946,0.117457778,,,Accuracy: 0.9741
0.066124391,0.082946321,,,Precision: 0.9058
0.051305833,0.098862026,,,Recall: 0.8010
0.048069112,0.154178045,,,
0.043512735,0.074520204,,non crop,Average IoU Score: 0.7520
0.041675213,0.181153216,,,Average F1 Score: 0.8585
0.041758395,0.091839736,,,Average Accuracy: 0.9865
0.033197491,0.074946931,,,Average Precision: 0.8791
0.02961047,0.08721385,,,Average Recall: 0.8387
0.027871385,0.103928203,,,
0.042966626,0.079462196,,,
0.027108475,0.107785066,,,
0.027214671,0.094791673,,,
0.026170898,0.085564254,,,
0.023572471,0.092068262,,,
0.02677799,0.108168783,,,
0.020118145,0.092722124,,,
0.018853408,0.109852062,,,
0.018064587,0.117850429,,,
0.017695551,0.12322243,,,
0.017502578,0.132480533,,,
0.018998562,0.111406567,,,
0.01648789,0.10630061,,,
0.015792941,0.115893033,,,
0.015243948,0.107368903,,,
0.014865902,0.115230039,,,
0.014693981,0.126565903,,,
0.013918296,0.123639271,,,
0.013169921,0.122551903,,,
0.012926244,0.127473639,,,
0.012568444,0.12596669,,,
0.012407639,0.151907195,,,
0.01233488,0.12992788,,,
0.012100555,0.137654895,,,
0.011893377,0.145341529,,,
